FID,nombre,observ,comp,comuna,tipo,localid,id,com_ine02,carabinero
86,BRIGADA DE INVESTIGACION CRIMINAL LAS CONDES,LAS CONDES, ,LAS CONDES,INVESTIGACIONES,SANTIAGO,86, , 
87,BRIGADA DE INVESTIGACION CRIMINAL LAS CONDES,LO BARNECHEA, ,LAS CONDES,INVESTIGACIONES,SANTIAGO,87, , 
88,BRIGADA DE INVESTIGACION CRIMINAL LAS CONDES,VITACURA, ,LAS CONDES,INVESTIGACIONES,SANTIAGO,88, , 
89,BRIGADA DE INVESTIGACION CRIMINAL RENCA,HUECHURABA, ,RENCA,INVESTIGACIONES,SANTIAGO,89, , 
90,BRIGADA DE INVESTIGACION CRIMINAL CONCHALI,INDEPENDENCIA, ,CONCHALI,INVESTIGACIONES,SANTIAGO,90, , 
91,BRIGADA DE INVESTIGACION CRIMINAL CONCHALI,RECOLETA, ,CONCHALI,INVESTIGACIONES,SANTIAGO,91, , 
92,BRIGADA DE INVESTIGACION CRIMINAL RENCA,QUILICURA, ,RENCA,INVESTIGACIONES,SANTIAGO,92, , 
93,BRIGADA DE INVESTIGACION CRIMINAL RENCA,RENCA, ,RENCA,INVESTIGACIONES,SANTIAGO,93, , 
94,BRIGADA DE INVESTIGACION CRIMINAL QUINTA NORMAL,CERRO NAVIA, ,QUINTA NORMAL,INVESTIGACIONES,SANTIAGO,94, , 
95,BRIGADA DE INVESTIGACION CRIMINAL QUINTA NORMAL,PUDAHUEL, ,QUINTA NORMAL,INVESTIGACIONES,SANTIAGO,95, , 
96,BRIGADA DE INVESTIGACION CRIMINAL QUINTA NORMAL,LO PRADO, ,QUINTA NORMAL,INVESTIGACIONES,SANTIAGO,96, , 
97,BRIGADA DE INVESTIGACION CRIMINAL MAIPU,ESTACION CENTRAL, ,MAIPU,INVESTIGACIONES,SANTIAGO,97, , 
98,BRIGADA DE INVESTIGACION CRIMINAL JOSE MARIA CARO,PEDRO AGUIRRE CERDA, ,LO ESPEJO,INVESTIGACIONES,SANTIAGO,98, , 
99,BRIGADA DE INVESTIGACION CRIMINAL NUNOA,MACUL, ,NUNOA,INVESTIGACIONES,SANTIAGO,99, , 
100,BRIGADA DE INVESTIGACION CRIMINAL PENALOLEN,PENALOLEN, ,PENALOLEN,INVESTIGACIONES,SANTIAGO,100, , 
101,BRIGADA DE INVESTIGACION CRIMINAL MAIPU,CERRILLOS, ,MAIPU,INVESTIGACIONES,SANTIAGO,101, , 
102,BRIGADA DE INVESTIGACION CRIMINAL JOSE MARIA CARO,LO ESPEJO, ,LO ESPEJO,INVESTIGACIONES,SANTIAGO,102, , 
103,BRIGADA DE INVESTIGACION CRIMINAL MAIPU,MAIPU, ,MAIPU,INVESTIGACIONES,SANTIAGO,103, , 
104,BRIGADA DE INVESTIGACION CRIMINAL SAN RAMON,SAN RAMON, ,SAN RAMON,INVESTIGACIONES,SANTIAGO,104, , 
105,BRIGADA DE INVESTIGACION CRIMINAL LA FLORIDA,LA FLORIDA, ,LA FLORIDA,INVESTIGACIONES,SANTIAGO,105, , 
106,BRIGADA DE INVESTIGACION CRIMINAL PUENTE ALTO,PUENTE ALTO, ,PUENTE ALTO,INVESTIGACIONES,SANTIAGO,106, , 
107,BRIGADA DE INVESTIGACION CRIMINAL SAN BERNARDO,SAN BERNARDO, ,SAN BERNARDO,INVESTIGACIONES,SANTIAGO,107, , 
108,BRIGADA DE INVESTIGACION CRIMINAL SAN BERNARDO,CALERA DE TANGO, ,SAN BERNARDO,INVESTIGACIONES,SANTIAGO,108, , 
109,BRIGADA DE INVESTIGACION CRIMINAL PUENTE ALTO,PIRQUE, ,PUENTE ALTO,INVESTIGACIONES,SANTIAGO,109, , 
110,BRIGADA DE INVESTIGACION CRIMINAL PUENTE ALTO,SAN JOSE DE MAIPO, ,PUENTE ALTO,INVESTIGACIONES,SANTIAGO,110, , 
111,CUERPO DE BOMBEROS DE SANTIAGO,"AGUA, HAZMAT",16,ESTACION CENTRAL,BOMBEROS,SANTIAGO,111, , 
112,CUERPO DE BOMBEROS DE SANTIAGO,AGUA,22,INDEPENDENCIA,BOMBEROS,SANTIAGO,112, , 
113,CUERPO DE BOMBEROS DE SANTIAGO,"ESCALAS, RESCATE",8,RECOLETA,BOMBEROS,SANTIAGO,113, , 
114,CUERPO DE BOMBEROS DE SANTIAGO,AGUA,13,PROVIDENCIA,BOMBEROS,SANTIAGO,114, , 
115,CUERPO DE BOMBEROS DE SANTIAGO,"AGUA, RESCATE",14,PROVIDENCIA,BOMBEROS,SANTIAGO,115, , 
116,CUERPO DE BOMBEROS DE SANTIAGO,"AGUA, RESCATE, ESCALAS",15,LAS CONDES,BOMBEROS,SANTIAGO,116, , 
117,CUERPO DE BOMBEROS DE SANTIAGO,AGUA,20,LAS CONDES,BOMBEROS,SANTIAGO,117, , 
118,CUERPO DE BOMBEROS DE SANTIAGO,AGUA,18,VITACURA,BOMBEROS,SANTIAGO,118, , 
119,CUERPO DE BOMBEROS DE SANTIAGO,AGUA,19,LO BARNECHEA,BOMBEROS,SANTIAGO,119, , 
120,CUERPO DE BOMBEROS DE NUNOA,"ESCALAS, RESCATE, SALVAMENTO",2,NUNOA,BOMBEROS,SANTIAGO,120, , 
121,CUERPO DE BOMBEROS DE NUNOA,"AGUA, RESCATE VEHICULAR",3,NUNOA,BOMBEROS,SANTIAGO,121, , 
122,CUERPO DE BOMBEROS DE NUNOA,"AGUA, MATERIAS PELIGROSAS",4,NUNOA,BOMBEROS,SANTIAGO,122, , 
123,CUERPO DE BOMBEROS DE NUNOA,"AGUA, RESCATE VEHICULAR",5,NUNOA,BOMBEROS,SANTIAGO,123, , 
124,CUERPO DE BOMBEROS DE NUNOA,"ESCALAS, RESCATE, SALVAMENTO, AGUA",6,LA REINA,BOMBEROS,SANTIAGO,124, , 
125,CUERPO DE BOMBEROS DE NUNOA,"AGUA, RESCATE VEHICULAR",7,MACUL,BOMBEROS,SANTIAGO,125, , 
126,CUERPO DE BOMBEROS DE NUNOA,"AGUA, RESCATE VEHICULAR",9,LA FLORIDA,BOMBEROS,SANTIAGO,126, , 
127,CUERPO DE BOMBEROS DE NUNOA,AGUA,10,LA FLORIDA,BOMBEROS,SANTIAGO,127, , 
128,CUERPO DE BOMBEROS DE NUNOA,AGUA,11,LA FLORIDA,BOMBEROS,SANTIAGO,128, , 
129,CUERPO DE BOMBEROS DE PUENTE ALTO, ,1,PUENTE ALTO,BOMBEROS,SANTIAGO,129, , 
130,CUERPO DE BOMBEROS DE PUENTE ALTO, ,2,PUENTE ALTO,BOMBEROS,SANTIAGO,130, , 
131,"CUERPO DE BOMBEROS DE SAN MIGUEL, SAN JOAQUIN Y PAC","AGUA, ESCALAS, RESCATE",1,SAN MIGUEL,BOMBEROS,SANTIAGO,131, , 
132,"CUERPO DE BOMBEROS DE SAN MIGUEL, SAN JOAQUIN Y PAC","AGUA, ESCALAS",2,SAN JOAQUIN,BOMBEROS,SANTIAGO,132, , 
133,"CUERPO DE BOMBEROS DE SAN MIGUEL, SAN JOAQUIN Y PAC","AGUA, ESCALAS",5,SAN JOAQUIN,BOMBEROS,SANTIAGO,133, , 
134,"CUERPO DE BOMBEROS DE LA GRANJA, SAN RAMON Y LA PINTANA", ,1,LA GRANJA,BOMBEROS,SANTIAGO,134, , 
135,"CUERPO DE BOMBEROS DE LA GRANJA, SAN RAMON Y LA PINTANA", ,3,LA PINTANA,BOMBEROS,SANTIAGO,135, , 
136,"CUERPO DE BOMBEROS DE LA GRANJA, SAN RAMON Y LA PINTANA", ,4,SAN RAMON,BOMBEROS,SANTIAGO,136, , 
137,CUERPO DE BOMBEROS DE MAIPU,"AGUA, RESCATE",1,MAIPU,BOMBEROS,SANTIAGO,137, , 
138,CUERPO DE BOMBEROS DE MAIPU,"AGUA , ESCALAS",4,MAIPU,BOMBEROS,SANTIAGO,138, , 
139,CUERPO DE BOMBEROS DE MAIPU,AGUA E ILUMINACION,6,MAIPU,BOMBEROS,SANTIAGO,139, , 
140,CUERPO DE BOMBEROS DE CONCHALI,RESCATE VEHICULAR,1,CONCHALI,BOMBEROS,SANTIAGO,140, , 
141,CUERPO DE BOMBEROS DE CONCHALI,INCENDIOS ESTRUCTURALES,2,RECOLETA,BOMBEROS,SANTIAGO,141, , 
142,CUERPO DE BOMBEROS DE CONCHALI,INCENDIOS ESTRUCTURALES,3,RECOLETA,BOMBEROS,SANTIAGO,142, , 
